x,y
325.5774575,-469.3428361
325.5074575,-469.3428361
325.4374575,-469.3428361
325.3674575,-469.3428361
325.2974575,-469.3428361
325.2274575,-469.3428361
325.1574575,-469.3428361
325.0874575,-469.3428361
325.0174575,-469.3428361
324.9474575,-469.3428361
324.8774575,-469.3428361
324.8074575,-469.3428361
324.7374575,-469.3428361
324.6674575,-469.3428361
324.5974575,-469.3428361
324.5274575,-469.3428361
324.4574575,-469.3428361
324.3874575,-469.3428361
324.3174575,-469.3428361
324.2474575,-469.3428361
324.1774575,-469.3428361
324.1074575,-469.3428361
324.0374575,-469.3428361
323.9674575,-469.3428361
323.8974575,-469.3428361
323.8274575,-469.3428361
323.7574575,-469.3428361
323.6874575,-469.3428361
323.6174575,-469.3428361
323.5474575,-469.3428361
323.4774575,-469.3428361
323.4074575,-469.3428361
323.3374575,-469.3428361
323.2674575,-469.3428361
323.1974575,-469.3428361
323.1274575,-469.3428361
323.0574575,-469.3428361
322.9874575,-469.3428361
322.9174575,-469.3428361
322.8474575,-469.3428361
322.7774575,-469.3428361
322.7074575,-469.3428361
322.6374575,-469.3428361
322.5674575,-469.3428361
322.4974575,-469.3428361
322.4274575,-469.3428361
322.3574575,-469.3428361
322.2874575,-469.3428361
322.2174575,-469.3428361
322.1474575,-469.3428361
322.0774575,-469.3428361
322.0074575,-469.3428361
321.9374575,-469.3428361
321.8674575,-469.3428361
321.7974575,-469.3428361
321.7274575,-469.3428361
321.6574575,-469.3428361
